animal.ID,T/C Ratio,CAA Estimate,Result,age.years,age.class,Sex,Section,BCS.Average
1,0.021,35,positive,4.5,Subadult,Female,Malelane,4
2,0.067,162,positive,1,Calf,Male,Malelane,3.75
3,0.213,559,positive,1,Calf,Male,Malelane,4
4,0.065,157,positive,1,Subadult,Male,Malelane,3.5
5,0.045,104,positive,4.5,Subadult,Female,Skukuza,4
6,0.014,17,negative,1,Subadult,Female,Skukuza,4
7,1.29,3430,positive,2.5,Subadult,Female,Skukuza,4.5
8,0.01,7,negative,2,Subadult,Female,Skukuza,4
9,0.05,115,positive,9.8,Adult,Female,Skukuza,3
10,0.008,1,negative,10.5,Adult,Female,Skukuza,4
11,0.018,28,negative,1.5,Subadult,Male,Skukuza,3.5
12,3.557,9396,positive,1.5,Subadult,Male,Skukuza,4.5
13,0.993,2644,positive,1.5,Subadult,Female,Skukuza,4.25
14,0.053,124,positive,1.5,Subadult,Female,Crocodile Bridge,3.25
15,0.005,NA,negative,13.1,Adult,Female,Crocodile Bridge,4
16,0.013,13,negative,9.6,Oldadult,Female,Crocodile Bridge,4.25
17,0.045,102,positive,1.5,Subadult,Male,Crocodile Bridge,4
18,0.007,NA,negative,1.5,Subadult,Female,Crocodile Bridge,4.25
19,0.008,1,negative,2.5,Subadult,Male,Crocodile Bridge,4.25
20,0.015,19,negative,2,Subadult,Female,Crocodile Bridge,4.5
21,0.017,26,negative,2,Subadult,Male,Crocodile Bridge,4
22,0.004,NA,negative,1.5,Subadult,Male,Crocodile Bridge,4.5
23,0.008,NA,negative,4.5,Subadult,Female,Crocodile Bridge,4
24,0.019,31,positive,5.5,Subadult,Female,Crocodile Bridge,4
25,0.009,3,negative,10.2,Adult,Female,Crocodile Bridge,4.75
26,0.008,NA,negative,1,Calf,Female,Crocodile Bridge,3.5
27,0.007,NA,negative,1.25,Subadult,Female,Crocodile Bridge,3.75
28,0.242,636,positive,2,Subadult,Female,Crocodile Bridge,3.75
29,0.008,1,negative,2,Subadult,Male,Crocodile Bridge,3.5
30,0.064,153,positive,1.5,Subadult,Female,Crocodile Bridge,4.25
31,0.033,69,positive,1.25,Subadult,Male,Crocodile Bridge,3.75
32,0.092,230,positive,3.5,Subadult,Female,Crocodile Bridge,4.5
34,6.672,17533,positive,8.2,Adult,Female,Crocodile Bridge,4.25
35,0.01,6,negative,2,Subadult,Female,Crocodile Bridge,4.25
36,0.012,11,negative,1,Calf,Male,Crocodile Bridge,3.25
37,0.65,1730,positive,1.25,Subadult,Male,Crocodile Bridge,3.5
38,0.016,24,negative,1.5,Subadult,Male,Crocodile Bridge,3.75
39,0.009,2,negative,1.25,Subadult,Female,Crocodile Bridge,4.25
40,0.009,4,negative,2,Subadult,Male,Crocodile Bridge,3.75
41,0.008,0,negative,3.5,Subadult,Female,Lower Sabie,4.25
42,0.009,3,negative,3,Subadult,Female,Lower Sabie,4.25
43,0.029,59,positive,8,Adult,Female,Lower Sabie,4.25
44,0.01,6,negative,4.5,Adult,Female,Lower Sabie,4
45,0.009,2,negative,1,Calf,Female,Lower Sabie,4
46,0.017,25,negative,1.25,Calf,Male,Lower Sabie,3.5
47,0.012,12,negative,1,Calf,Female,Lower Sabie,4.25
48,0.009,2,negative,1.5,Subadult,Female,Lower Sabie,4.75
49,0.01,7,negative,2.5,Subadult,Female,Lower Sabie,4.25
50,0.009,4,negative,1.5,Calf,Female,Lower Sabie,4
51,0.019,30,negative,1,Calf,Female,Lower Sabie,4.25
52,0.012,11,negative,1.5,Subadult,Male,Lower Sabie,4.25
53,0.239,630,positive,1,Subadult,Male,Lower Sabie,3.75
54,0.041,92,positive,8.2,Adult,Female,Lower Sabie,4.25
55,0.112,285,positive,11.1,Adult,Female,Lower Sabie,4
56,0.057,135,positive,4.5,Adult,Female,Lower Sabie,4.25
57,6.303,16570,positive,1,Calf,Female,Lower Sabie,4
58,0.008,NA,negative,1,Subadult,Female,Lower Sabie,4
59,0.016,23,negative,14,Adult,Female,Lower Sabie,4.25
60,0.014,18,negative,5.5,Adult,Female,Lower Sabie,3.5
61,0.009,3,negative,13.5,Adult,Female,Lower Sabie,4.25
62,0.008,1,negative,1.5,Subadult,Female,Lower Sabie,3.75
63,0.025,47,positive,NA,NA,NA,NA,NA
64,0.013,14,negative,7.8,Adult,Female,Lower Sabie,4.75
65,0.008,NA,negative,4.5,Subadult,Female,Lower Sabie,4.25
66,0.013,15,negative,7.2,Adult,Female,Lower Sabie,4.75
67,0.01,7,negative,13.9,Adult,Female,Lower Sabie,3.5
68,0.011,9,negative,5.7,Adult,Female,Lower Sabie,4.5
69,0.017,25,negative,4.5,Adult,Female,Lower Sabie,4.25
70,0.016,22,negative,NA,NA,NA,NA,NA
71,0.008,1,negative,1.25,Subadult,Male,Lower Sabie,3.5
72,0.009,4,negative,NA,NA,NA,NA,NA
73,0.006,NA,negative,1.25,Subadult,Male,Lower Sabie,3.25
74,0.008,1,negative,2,Subadult,Female,Tshokwane,3.75
75,0.011,9,negative,1,Calf,Male,Tshokwane,4.25
76,0.012,12,negative,1,Calf,Male,Tshokwane,3.75
77,0.006,NA,negative,1.5,Subadult,Male,Tshokwane,4
78,0.008,NA,negative,1,Calf,Female,Tshokwane,3.75
79,0.008,NA,negative,8.5,Adult,Female,Tshokwane,3.5
80,0.016,22,negative,5.9,Adult,Female,Tshokwane,4.25
81,0.027,53,positive,9.9,Adult,Female,Tshokwane,4.75
82,0.02,33,positive,12.6,Adult,Female,Tshokwane,4.5
83,0.01,5,negative,1.5,Subadult,Male,Pretoriuskop,3.75
84,0.009,2,negative,1.25,Subadult,Female,Pretoriuskop,4.5
85,0.017,26,negative,2,Subadult,Male,Pretoriuskop,4
86,0.516,1372,positive,2.5,Subadult,Female,Pretoriuskop,4.5
87,0.007,NA,negative,1.5,Subadult,Female,Pretoriuskop,4.25
88,0.007,NA,negative,2,Subadult,Female,Pretoriuskop,4.25
89,0.014,18,negative,1.25,Subadult,Male,Pretoriuskop,3.25
90,0.009,2,negative,1,Calf,Female,Pretoriuskop,3
91,0.007,NA,negative,1.5,Subadult,Male,Pretoriuskop,3.5
92,0.034,66,positive,1,Calf,Male,Pretoriuskop,3.75
93,0.103,224,positive,1,Calf,Male,Pretoriuskop,4.25
94,0.024,38,positive,4,Subadult,Female,Pretoriuskop,4
95,0.036,71,positive,1.25,Subadult,Male,Pretoriuskop,4.25
96,0.011,NA,negative,1,Calf,Male,Pretoriuskop,3.75
97,0.007,NA,negative,1,Calf,Female,Pretoriuskop,4.25
98,0.008,NA,negative,0.67,Calf,Female,Pretoriuskop,4.25
99,0.402,856,positive,1,Calf,Female,Pretoriuskop,4
100,0.035,67,positive,2,Subadult,Male,Skukuza,4
101,0.015,13,negative,15,Adult,Female,Skukuza,4.5
102,0.146,317,positive,7.6,Adult,Female,Skukuza,4.25
103,0.045,92,positive,2,Subadult,Male,Skukuza,3.5
104,0.058,122,positive,1,Calf,Female,Skukuza,4.25
105,0.395,840,positive,2.5,Subadult,Female,Skukuza,4.25
106,0.065,139,positive,16.9,Oldadult,Female,Skukuza,3
107,2.635,11612,positive,1.75,Subadult,Male,Skukuza,4.25
108,0.017,20,negative,1,Calf,Male,Skukuza,3.5
109,0.24,516,positive,2,Subadult,Female,Skukuza,4.25
110,0.016,14,negative,2.5,Subadult,Female,Skukuza,3.75
111,0.027,45,positive,1.5,Subadult,Female,Skukuza,4
