animal.ID,T/C Ratio,CAA Estimate,Result
1,0.021,35,positive
2,0.067,162,positive
3,0.213,559,positive
4,0.065,157,positive
5,0.045,104,positive
6,0.014,17,negative
7,1.29,3430,positive
8,0.01,7,negative
9,0.05,115,positive
10,0.008,1,negative
11,0.018,28,negative
12,3.557,9396,positive
13,0.993,2644,positive
14,0.053,124,positive
15,0.005,#NUM!,belowLLOD
16,0.013,13,negative
17,0.045,102,positive
18,0.007,#NUM!,belowLLOD
19,0.008,1,negative
20,0.015,19,negative
21,0.017,26,negative
22,0.004,#NUM!,belowLLOD
23,0.008,#NUM!,belowLLOD
24,0.019,31,positive
25,0.009,3,negative
26,0.008,#NUM!,belowLLOD
27,0.007,#NUM!,belowLLOD
28,0.242,636,positive
29,0.008,1,negative
30,0.064,153,positive
31,0.033,69,positive
32,0.092,230,positive
34,6.672,17533,positive
35,0.01,6,negative
36,0.012,11,negative
37,0.65,1730,positive
38,0.016,24,negative
39,0.009,2,negative
40,0.009,4,negative
41,0.008,0,negative
42,0.009,3,negative
43,0.029,59,positive
44,0.01,6,negative
45,0.009,2,negative
46,0.017,25,negative
47,0.012,12,negative
48,0.009,2,negative
49,0.01,7,negative
50,0.009,4,negative
51,0.019,30,negative
52,0.012,11,negative
53,0.239,630,positive
54,0.041,92,positive
55,0.112,285,positive
56,0.057,135,positive
57,6.303,16570,positive
58,0.008,#NUM!,belowLLOD
59,0.016,23,negative
60,0.014,18,negative
61,0.009,3,negative
62,0.008,1,negative
63,0.025,47,positive
64,0.013,14,negative
65,0.008,#NUM!,belowLLOD
66,0.013,15,negative
67,0.01,7,negative
68,0.011,9,negative
69,0.017,25,negative
70,0.016,22,negative
71,0.008,1,negative
72,0.009,4,negative
73,0.006,#NUM!,belowLLOD
74,0.008,1,negative
75,0.011,9,negative
76,0.012,12,negative
77,0.006,#NUM!,belowLLOD
78,0.008,#NUM!,belowLLOD
79,0.008,#NUM!,belowLLOD
80,0.016,22,negative
81,0.027,53,positive
82,0.02,33,positive
83,0.01,5,negative
84,0.009,2,negative
85,0.017,26,negative
86,0.516,1372,positive
87,0.007,#NUM!,belowLLOD
88,0.007,#NUM!,belowLLOD
89,0.014,18,negative
90,0.009,2,negative
91,0.007,#NUM!,belowLLOD
92,0.034,66,positive
93,0.103,224,positive
94,0.024,38,positive
95,0.036,71,positive
96,0.011,#NUM!,belowLLOD
97,0.007,#NUM!,belowLLOD
98,0.008,#NUM!,belowLLOD
99,0.402,856,positive
100,0.035,67,positive
101,0.015,13,negative
102,0.146,317,positive
103,0.045,92,positive
104,0.058,122,positive
105,0.395,840,positive
106,0.065,139,positive
107,2.635,11612,positive
108,0.017,20,negative
