"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"1",1,4.5,"Subadult","Female",4,336.864440917969,35,"positive",361463.468576904,7212550.58209549
"2",2,1,"Calf","Male",3.75,336.864440917969,162,"positive",361463.468576904,7212550.58209549
"3",3,1,"Calf","Male",4,336.864440917969,559,"positive",361463.468576904,7212550.58209549
"4",4,1,"Subadult","Male",3.5,336.864440917969,157,"positive",361463.468576904,7212550.58209549
"5",5,4.5,"Subadult","Female",4,350.6064453125,104,"positive",363314.335128468,7214491.09967747
"6",6,1,"Subadult","Female",4,350.6064453125,17,"negative",363314.335128468,7214491.09967747
"7",7,2.5,"Subadult","Female",4.5,350.6064453125,3430,"positive",363314.335128468,7214491.09967747
"8",8,2,"Subadult","Female",4,350.6064453125,7,"negative",363314.335128468,7214491.09967747
"9",9,9.8,"Adult","Female",3,350.6064453125,115,"positive",363377.321059155,7214441.89098062
"10",10,10.5,"Adult","Female",4,350.6064453125,1,"negative",363377.321059155,7214441.89098062
"11",11,1.5,"Subadult","Male",3.5,350.6064453125,28,"negative",363377.321059155,7214441.89098062
"12",12,1.5,"Subadult","Male",4.5,350.6064453125,9396,"positive",363377.321059155,7214441.89098062
"13",13,1.5,"Subadult","Female",4.25,350.6064453125,2644,"positive",363377.321059155,7214441.89098062
"14",14,1.5,"Subadult","Female",3.25,350.6064453125,124,"positive",363377.321059155,7214441.89098062
"15",15,13.1,"Adult","Female",4,349.188201904297,NA,"negative",367346.695327113,7214722.73898574
"16",16,9.6,"Oldadult","Female",4.25,349.188201904297,13,"negative",367346.695327113,7214722.73898574
"17",17,1.5,"Subadult","Male",4,349.188201904297,102,"positive",367346.695327113,7214722.73898574
"18",18,1.5,"Subadult","Female",4.25,349.188201904297,NA,"negative",367346.695327113,7214722.73898574
"19",19,2.5,"Subadult","Male",4.25,349.188201904297,1,"negative",367346.695327113,7214722.73898574
"20",20,2,"Subadult","Female",4.5,349.188201904297,19,"negative",367346.695327113,7214722.73898574
"21",21,2,"Subadult","Male",4,349.188201904297,26,"negative",367346.695327113,7214722.73898574
"22",22,1.5,"Subadult","Male",4.5,349.188201904297,NA,"negative",367346.695327113,7214722.73898574
"23",23,4.5,"Subadult","Female",4,207.486389160156,NA,"negative",390240.943447141,7214251.65553718
"24",24,5.5,"Subadult","Female",4,207.486389160156,31,"positive",390240.943447141,7214251.65553718
"25",25,10.2,"Adult","Female",4.75,207.486389160156,3,"negative",390240.943447141,7214251.65553718
"26",26,1,"Calf","Female",3.5,207.486389160156,NA,"negative",390240.943447141,7214251.65553718
"27",27,1.25,"Subadult","Female",3.75,207.486389160156,NA,"negative",390240.943447141,7214251.65553718
"28",28,2,"Subadult","Female",3.75,207.486389160156,636,"positive",390240.943447141,7214251.65553718
"29",29,2,"Subadult","Male",3.5,207.486389160156,1,"negative",390240.943447141,7214251.65553718
"30",30,1.5,"Subadult","Female",4.25,207.486389160156,153,"positive",390240.943447141,7214251.65553718
"31",31,1.25,"Subadult","Male",3.75,207.486389160156,69,"positive",390240.943447141,7214251.65553718
"32",32,3.5,"Subadult","Female",4.5,206.799255371094,230,"positive",394726.567965415,7209832.83639441
"33",34,8.2,"Adult","Female",4.25,206.799255371094,17533,"positive",394726.567965415,7209832.83639441
"34",35,2,"Subadult","Female",4.25,206.799255371094,6,"negative",394726.567965415,7209832.83639441
"35",36,1,"Calf","Male",3.25,206.799255371094,11,"negative",394726.567965415,7209832.83639441
"36",37,1.25,"Subadult","Male",3.5,206.799255371094,1730,"positive",394726.567965415,7209832.83639441
"37",38,1.5,"Subadult","Male",3.75,206.799255371094,24,"negative",394726.567965415,7209832.83639441
"38",39,1.25,"Subadult","Female",4.25,206.799255371094,2,"negative",394726.567965415,7209832.83639441
"39",40,2,"Subadult","Male",3.75,206.799255371094,4,"negative",394726.567965415,7209832.83639441
"40",41,3.5,"Subadult","Female",4.25,244.507553100586,0,"negative",386059.323707799,7234912.21423284
"41",42,3,"Subadult","Female",4.25,244.507553100586,3,"negative",386059.323707799,7234912.21423284
"42",43,8,"Adult","Female",4.25,244.507553100586,59,"positive",386059.323707799,7234912.21423284
"43",44,4.5,"Adult","Female",4,244.507553100586,6,"negative",386059.323707799,7234912.21423284
"44",45,1,"Calf","Female",4,244.507553100586,2,"negative",386080.342727601,7234933.4317904
"45",46,1.25,"Calf","Male",3.5,244.507553100586,25,"negative",386080.342727601,7234933.4317904
"46",47,1,"Calf","Female",4.25,244.507553100586,12,"negative",386080.342727601,7234933.4317904
"47",48,1.5,"Subadult","Female",4.75,244.507553100586,2,"negative",386080.342727601,7234933.4317904
"48",49,2.5,"Subadult","Female",4.25,280.645782470703,7,"negative",386106.120285265,7240087.94011407
"49",50,1.5,"Calf","Female",4,280.645782470703,4,"negative",386106.120285265,7240087.94011407
"50",51,1,"Calf","Female",4.25,280.645782470703,30,"negative",386106.120285265,7240087.94011407
"51",52,1.5,"Subadult","Male",4.25,280.645782470703,11,"negative",386106.120285265,7240087.94011407
"52",53,1,"Subadult","Male",3.75,280.645782470703,630,"positive",386106.120285265,7240087.94011407
"53",54,8.2,"Adult","Female",4.25,280.645782470703,92,"positive",386183.423834946,7240627.93133264
"54",55,11.1,"Adult","Female",4,280.645782470703,285,"positive",386183.423834946,7240627.93133264
"55",56,4.5,"Adult","Female",4.25,280.645782470703,135,"positive",386183.423834946,7240627.93133264
"56",57,1,"Calf","Female",4,280.645782470703,16570,"positive",386183.423834946,7240627.93133264
